3346,Hunter Green,#56743b
3347,Yellow Green - MED,#6d9646
3348,Yellow Green - LT,#bedf74
335,Rose,#d63d57
3350,Dusty Rose - ULT DK,#aa3949
3354,Dusty Rose - LT,#efa5ac
336,Blue,#0c275e
3362,Pine Green - DK,#49523c
3363,Pine Green - MED,#617451
3364,Pine Green,#8e9b6d
3371,Black Brown,#36220e
340,Blue Violet - MED,#996dc3
341,Blue Violet - LT,#a39ad7
347,Salmon - VY DK,#ab1b33
349,Coral - DK,#c62c38
350,Coral - MED,#de3f40
351,Coral,#ed625b
352,Coral - LT,#f78372
353,Peach,#fdb4a1
355,Terra Cotta - DK,#97382b
356,Terra Cotta - MED,#be5c4b
3607,Plum - LT,#d94c9d
3608,Plum - VY LT,#ec81be
3609,Plum - ULT LT,#f6b0df
367,Pistachio Green - DK,#446b45
368,Pistachio Green - LT,#7fc66d
3685,Mauve - VY DK,#79263b
3687,Mauve,#b5455d
3688,Mauve - MED,#dc7c86
3689,Mauve - LT,#f8bbc8
369,Pistachio Green - VY LT,#cdefa6
370,Mustard - MED,#917245
3705,Melon - DK,#f2494f
3706,Melon - MED,#fd6e70
3708,Melon - LT,#fda0ae
371,Mustard,#9f8352
3712,Salmon - MED,#d95d5d
3713,Salmon - VY LT,#fdd5d0
3716,Dusty Rose - VY LT,#fcafb9
372,Mustard - LT,#ad9564
3721,Shell Pink - DK,#933b3d
3722,Shell Pink - MED,#a04b4c
3726,Antique Mauve - DK,#95565c
3727,Antique Mauve - LT,#da9ea6
3731,Dusty Rose - VY DK,#c34c5c
3733,Dusty Rose,#ea7e86
3740,Antique Violet - DK,#71535d
3743,Antique Violet - VY LT,#cfc2c9
3746,Blue Violet - DK,#844ab5
3747,Blue Violet - VY LT,#d0c5ec
3750,Antique Blue - VY DK,#1d4552
3752,Antique Blue - VY LT,#bac9cc
3753,Antique Blue - ULT VY LT,#d9e6ec
3755,Baby Blue (?),#81a5d8
3756,Baby Blue,#e9f4fa
3760,Wedgewood - MED,#467293
3761,Sky Blue - LT,#b1d0df
3765,Peacock Blue - VY DK,#175e78
3766,Peacock Blue - LT,#4b8aa1
3768,Gray Green - DK,#4c605f
3770,Tawny - VY LT,#fef1d8
3771,Peach - DK,#e8ac9b
3772,Desert Sand - VY DK,#995744
3773,Desert Sand - MED,#cf866d
3774,Desert Sand - VY LT,#f3cfb4
3776,Mahogany - LT,#c96444
3777,Terra Cotta - VY DK,#922f25
3778,Terra Cotta - LT,#d2705c
3779,Terra Cotta - ULT VY LT,#f2ab95
3781,Mocha Brown - DK,#593f2b
3782,Mocha Brown - LT,#b69d80
3787,Brown Gray - DK,#62524c
3790,Beige Gray - ULT DK,#6d5a4b
3799,Pewter Gray - VY DK,#39393d
3801,Melon - VY DK,#e4353d
3802,Antique Mauve - VY DK,#672a33
3803,Mauve - DK,#872a43
3804,Cyclamen Pink - DK,#ce2b63
3805,Cyclamen Pink,#df3c73
3806,Cyclamen Pink - LT,#f15a91
3807,Cornflower Blue,#4b599e
3808,Turquoise - ULT VY DK,#03535c
3809,Turquoise - VY DK,#136a75
3810,Turquoise - DK,#2d8d98
3811,Turquoise - VY LT,#a8e2e5
3812,Seagreen - VY DK,#07a184
3813,Blue Green - LT,#86c3ab
3814,Aquamarine,#0b8673
3815,Celadon Green - DK,#437259
3816,Celadon Green,#60937a
3817,Celadon Green - LT,#81c6a4
3818,Emerald Green - ULT VY DK,#005d2e
3819,Moss Green - LT,#ccc959
3820,Straw - DK,#dba53e
3821,Straw,#ebbb52
3822,Straw - LT,#f7d169
3823,Yellow - ULT PALE,#fef5cd
3824,Apricot - LT,#fcae99
3825,Pumpkin - PALE,#fea370
3826,Golden Brown,#b16633
3827,Golden Brown - PALE,#eaa664
3828,Hazelnut Brown,#aa7c43
3829,Old Gold - VY DK,#a7671d
3830,Terra Cotta,#a94138
3831,Raspberry - DK,#c12b52
3832,Raspberry - MED,#e36370
3833,Raspberry - LT,#ea8b96
3834,Grape - DK,#6a2258
3835,Grape - MED,#924d78
3836,Grape - LT,#c597b9
3837,Lavender - ULT DK,#8a2a8f
3838,Lavender Blue - DK,#606bad
3839,Lavender Blue - MED,#7a7ec5
3840,Lavender Blue - LT,#b2bdea
3841,Baby Blue - PALE,#d9eaf2
3842,Wedgewood - DK,#06506a
3843,Electric Blue,#28a3de
3844,Bright Turquoise - DK,#1f7fa0
3845,Bright Turquoise - MED,#2badd1
3846,Bright Turquoise - LT,#5eccec
3847,Teal Green - DK,#186358
3848,Teal Green - MED,#207e72
3849,Teal Green - LT,#35b193
3850,Bright Green - DK,#208b46
3851,Bright Green - LT,#61bb84
3852,Straw - VY DK,#e3a730
3853,Autumn Gold - DK,#ef8125
3854,Autumn Gold - MED,#fbac56
3855,Autumn Gold - LT,#fddfa0
3856,Mahogany - ULT VY LT,#fdbe8e
3857,Rosewood - DK,#6a2f26
3858,Rosewood - MED,#803a32
3859,Rosewood - LT,#ba7a6c
3860,Cocoa,#896362
3861,Cocoa - LT,#ac8583
3862,Mocha Beige - DK,#6e492a
3863,Mocha Beige - MED,#94725d
3864,Mocha Beige - LT,#c9aa92
3865,Winter White,#fffdf9
3866,Mocha Brown - ULT VY LT,#f0e6d7
400,Mahogany - DK,#813718
